BioSample	Experiment	InsertSize	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	colection_date	country	host_status	isolation_source	serovar	specific_host	strain	Assay_Type	AssemblyName	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	Species
SAMEA1690394	ERX166419	236	5652068	2013-01-23	438	218	2013-01-21	ERR191730	ERS135535	SAMEA1690394 ERS135535	2009	USA: Chicago	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS001	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690350	ERX166420	236	5652069	2013-01-23	679	336	2013-01-21	ERR191731	ERS135205	SAMEA1690350 ERS135205	2009	USA: Chicago	disease	urethra	ST 1901/NG 6712	Homo sapiens	GCGS002	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690469	ERX166421	236	5652070	2013-01-23	345	171	2013-01-21	ERR191732	ERS135206	SAMEA1690469 ERS135206	2009	USA: Chicago	disease	urethra	ST 1901/NG 1407	Homo sapiens	GCGS003	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690372	ERX166422	236	5652071	2013-01-23	349	172	2013-01-21	ERR191733	ERS135536	SAMEA1690372 ERS135536	2009	USA: Chicago	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS004	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690501	ERX166423	236	5652072	2013-01-23	386	192	2013-01-21	ERR191734	ERS135208	SAMEA1690501 ERS135208	2009	USA: Chicago	disease	urethra	ST 1901/NG Unknown	Homo sapiens	GCGS005	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690435	ERX166424	236	5652073	2013-01-23	568	281	2013-01-21	ERR191735	ERS135209	SAMEA1690435 ERS135209	2009	USA: Chicago	disease	urethra	ST 8110/NG 2265	Homo sapiens	GCGS006	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690387	ERX166425	236	5652074	2013-01-23	479	243	2013-01-21	ERR191736	ERS135646	SAMEA1690387 ERS135646	2009	USA: Chicago	disease	urethra	ST 1901/NG 4986	Homo sapiens	GCGS007	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690356	ERX166426	236	5652075	2013-01-23	557	276	2013-01-21	ERR191737	ERS135211	SAMEA1690356 ERS135211	2009	USA: Chicago	disease	urethra	ST 1588/NG New	Homo sapiens	GCGS008	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690379	ERX166427	236	5652076	2013-01-23	350	175	2013-01-21	ERR191738	ERS135212	SAMEA1690379 ERS135212	2009	USA: Denver	disease	urethra	ST 8126/NG 359	Homo sapiens	GCGS009	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
SAMEA1690468	ERX166428	236	5652077	2013-01-23	374	183	2013-01-21	ERR191739	ERS135538	SAMEA1690468 ERS135538	2009	USA: Las Vegas	disease	urethra	ST 1580/NG Unknown	Homo sapiens	GCGS010	WGS	BioProject23	200	PRJEB2999	SC	public	sra	ncbi	Illumina HiSeq 2000	PAIRED	RANDOM	GENOMIC	Neisseria gonorrhoeae	ILLUMINA	ERP001405	Neisseria gonorrhoeae
