ArrayExpress_Species	AssemblyName	AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	ENA_FIRST_PUBLIC	ENA_LAST_UPDATE	Experiment	InsertSize	Instrument	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	Species	strain	Assay_Type	BioProject	Center_Name	Consent	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
		115	SAMN00009845	sra	ncbi	2010-08-31	2012-07-19	ERX006631	200	Illumina Genome Analyzer II	Maiden Neisseria group 2 1	2012-07-22	19	14	unidentified	2011-03-18	ERR016929	SRS024887	unidentified			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678136	sra	ncbi	2010-08-31	2017-04-21	ERX2008450	211	Illumina Genome Analyzer II	NT20350F	2012-07-20	104	71	Neisseria meningitidis	2011-03-18	ERR016930	ERS006839	SAMEA678136 ERS006839		OX9930141	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678513	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008459	214	Illumina Genome Analyzer II	NT20350F	2012-07-20	290	193	Neisseria meningitidis	2011-03-18	ERR016931	ERS006848	9930765-sc-2010-05-07-6426			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678321	sra	ncbi	2010-08-31	2017-04-21	ERX2008460	225	Illumina Genome Analyzer II	NT20350F	2012-07-22	273	190	Neisseria meningitidis	2011-03-18	ERR016932	ERS006849	SAMEA678321 ERS006849		OX9930951	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678475	sra	ncbi	2010-08-31	2017-04-21	ERX2008461	225	Illumina Genome Analyzer II	NT20350F	2012-07-22	207	149	Neisseria meningitidis	2011-03-18	ERR016933	ERS006850	SAMEA678475 ERS006850		OX9930963	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678253	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008451	224	Illumina Genome Analyzer II	NT20350F	2012-07-22	97	69	Neisseria meningitidis	2011-03-18	ERR016934	ERS006840	9930304-sc-2010-05-07-6418			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678327	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008452	226	Illumina Genome Analyzer II	NT20350F	2012-07-22	85	57	Neisseria meningitidis	2011-03-18	ERR016935	ERS006841	9930970-sc-2010-05-07-6419			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678018	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008453	220	Illumina Genome Analyzer II	NT20350F	2012-07-22	173	115	Neisseria meningitidis	2011-03-18	ERR016936	ERS006842	9930996-sc-2010-05-07-6420			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678015	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008454	214	Illumina Genome Analyzer II	NT20350F	2012-07-22	180	123	Neisseria meningitidis	2011-03-18	ERR016937	ERS006843	9930342-sc-2010-05-07-6421			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678027	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008455	217	Illumina Genome Analyzer II	NT20350F	2012-07-22	138	94	Neisseria meningitidis	2011-03-18	ERR016938	ERS006844	9930357-sc-2010-05-07-6422			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678026	sra	ncbi	2010-08-31	2017-04-21	ERX2008456	215	Illumina Genome Analyzer II	NT20350F	2012-07-22	153	109	Neisseria meningitidis	2011-03-18	ERR016939	ERS006845	SAMEA678026 ERS006845		OX9930486	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678025	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008457	213	Illumina Genome Analyzer II	NT20350F	2012-07-20	319	216	Neisseria meningitidis	2011-03-18	ERR016940	ERS006846	9930715-sc-2010-05-07-6424			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678024	sra	ncbi	2010-08-31	2017-04-21	ERX2008458	206	Illumina Genome Analyzer II	NT20350F	2012-07-22	185	125	Neisseria meningitidis	2011-03-18	ERR016941	ERS006847	SAMEA678024 ERS006847		OX9930716	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMN00009845	sra	ncbi	2010-08-31	2012-07-19	ERX006628	200	Illumina Genome Analyzer II	Maiden Neisseria group 3 1	2012-07-22	19	14	unidentified	2011-03-18	ERR016942	SRS024887	unidentified			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678477	sra	ncbi	2010-08-31	2017-04-21	ERX2008416	221	Illumina Genome Analyzer II	NT20362J	2012-07-22	109	74	Neisseria meningitidis	2011-03-18	ERR016943	ERS006851	SAMEA678477 ERS006851		OX9931018	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678050	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008425	225	Illumina Genome Analyzer II	NT20362J	2012-07-22	231	154	Neisseria meningitidis	2011-03-18	ERR016944	ERS006860	9931165-sc-2010-05-07-6438			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678122	sra	ncbi	2010-08-31	2017-04-21	ERX2008426	229	Illumina Genome Analyzer II	NT20362J	2012-07-22	175	119	Neisseria meningitidis	2011-03-18	ERR016945	ERS006861	SAMEA678122 ERS006861		OX9931197	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678479	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008417	228	Illumina Genome Analyzer II	NT20362J	2012-07-22	116	78	Neisseria meningitidis	2011-03-18	ERR016946	ERS006852	9931019-sc-2010-05-07-6430			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678480	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008418	234	Illumina Genome Analyzer II	NT20362J	2012-07-22	276	185	Neisseria meningitidis	2011-03-18	ERR016947	ERS006853	9931218-sc-2010-05-07-6431			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678467	sra	ncbi	2010-08-31	2017-04-21	ERX2008419	238	Illumina Genome Analyzer II	NT20362J	2012-07-22	109	72	Neisseria meningitidis	2011-03-18	ERR016948	ERS006854	SAMEA678467 ERS006854		OX9931037	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678469	sra	ncbi	2010-08-31	2017-04-21	ERX2008420	226	Illumina Genome Analyzer II	NT20362J	2012-07-22	239	160	Neisseria meningitidis	2011-03-18	ERR016949	ERS006855	SAMEA678469 ERS006855		OX9931039	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678471	sra	ncbi	2010-08-31	2017-04-21	ERX2008421	239	Illumina Genome Analyzer II	NT20362J	2012-07-22	214	148	Neisseria meningitidis	2011-03-18	ERR016950	ERS006856	SAMEA678471 ERS006856		OX9931049	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678473	sra	ncbi	2010-08-31	2017-04-21 2018-03-09	ERX2008422	239	Illumina Genome Analyzer II	NT20362J	2012-07-22	196	133	Neisseria meningitidis	2011-03-18	ERR016951	ERS006857	9931066-sc-2010-05-07-6435			WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
		115	SAMEA678463	sra	ncbi	2010-08-31	2017-04-21	ERX2008423	224	Illumina Genome Analyzer II	NT20362J	2012-07-20	171	114	Neisseria meningitidis	2011-03-18	ERR016952	ERS006858	SAMEA678463 ERS006858		OX9931111	WGS	PRJEB2090	SC	public	PAIRED	RANDOM	GENOMIC	ILLUMINA	ERP000144
