Strain,Estimate,Actual,MIC
GCGS039,ND,0/4,1
GCGS196,ND,0/4,1
GCGS018,4/4,3/4,16.0
GCGS038,4/4,4/4,8.0
GCGS096,4/4,4/4,16.0
GCGS098,4/4,4/4,16.0
GCGS102,3/4,2/4,2.0
GCGS104,2/4,3/4,2.0
GCGS106,4/4,4/4,8.0
GCGS110,4/4,4/4,16.0
GCGS118,3/4,4/4,8.0
GCGS120,4/4,4/4,8.0
GCGS128,4/4,4/4,8.0
GCGS136,4/4,4/4,8.0
GCGS142,4/4,3/3b,8.0
GCGS156,4/4,4/4,16.0
GCGS174,4/4,4/4,16.0
GCGS176,4/4,4/4,16.0
GCGS198,4/4,4/4,16.0
GCGS202,4/4,4/4,8.0
GCGS204,4/4,4/4,8.0
GCGS218,4/4,4/4,16.0
GCGS224,4/4,4/4,8.0
GCGS226,4/4,4/4,16.0
GCGS228,2/4,2/4,2.0
GCGS230,4/4,4/4,8.0
